id,Program Type,Program Name,Community Area,Activity Status,lat,lon
1,CACFP,Universal Family Connection,Washington Heights,ACTIVE,41.748608,-87.6824403
2,CACFP,DMI Information Processing Ctr,Austin,ACTIVE,41.8732033,-87.7530451
3,GCFD-MP,Bloom High School,Chicago Heights,INACTIVEFB,41.5141874,-87.6441887
5,FOODBOX,Food Box-JAMS,Chicago Lawn,INACTIVEFB,41.7643434,-87.6842772
6,FOODBOX,Food Box-New Mt. Zion Church,West Englewood,INACTIVEFB,41.7797411,-87.65782159999999
7,FOODBOX,Food Box-King Comm Srvc Ctr,Grand Boulevard,INACTIVEFB,41.8163431,-87.60727740000002
8,FOODBOX,Food Box-Far So. Comm. Svc Ofc,West Pullman,INACTIVEFB,41.6771506,-87.6433799
9,FOODBOX,Food Box-Shiloah Bapt. Chrch,Kenwood,INACTIVEFB,41.8065057,-87.59246449999999
10,FOODBOX,Food Box-Englwd Comm Svc Ofc.,Auburn Gresham,INACTIVEFB,41.7507036,-87.65294449999999
11,FOODBOX,Food Box-Central Advisory Brd.,Douglas,INACTIVEFB,41.8364762,-87.62021039999999
12,FOODBOX,Food Box-HRDI,Ashburn,INACTIVEFB,41.7449234,-87.68235829999999
13,FOODBOX,Food Box-Bethlehem Star,Chatham,INACTIVEFB,41.726546,-87.60410139999999
14,FOODBOX,Food Box-Christ Universal,Washington Heights,INACTIVEFB,41.7292251,-87.6625163
15,FOODBOX,Food Box- Faith Temple COGIC,Englewood,INACTIVEFB,41.763689,-87.64714599999999
16,FOODBOX,Food Box-New Foundation of Hop,Ashburn,INACTIVEAG,41.7447891,-87.7026504
17,FOODBOX,Food Box-Beautiful Zion Hill,West Englewood,INACTIVEFB,41.7779653,-87.65965609999999
18,FOODBOX,Food Box-Rock of Love MB Ch,Auburn Gresham,INACTIVEFB,41.755006,-87.66394299999999
19,FOODBOX,Food Box-Fellowship House Wall,Burnside,INACTIVEFB,41.7265351,-87.6006978
20,FOODBOX,Food Box-Two/Woodlawn Org,Woodlawn,INACTIVEFB,41.78074489999999,-87.5886077
21,FOODBOX,Food Box-Ministry of the Faith,Woodlawn,INACTIVEFB,41.7841233,-87.610664
22,FOODBOX,Inner-City Missions Network,Greater Grand Crossing,ACTIVE,41.7597378,-87.59636540000001
23,SOUP KITCH,Community Kitchens -KKC,Englewood,INACTIVEFB,41.7776961,-87.64804319999999
