neighborhood,lat,lon
Albany Park,41.9689723,-87.7197245
Alsip,41.6689223,-87.73866190000001
Archer Heights,41.8108668,-87.7263045
Arlington Heights,41.92672779999999,-87.64239150000002
Armour Square,41.8407554,-87.63401859999999
Ashburn,41.7479001,-87.7072177
Auburn Gresham,41.7433773,-87.6561995
Austin,41.8929529,-87.7615618
Avalon Park,41.747774,-87.5908803
Avondale,41.9415011,-87.70250209999999
Barrington,41.8847775,-87.6306113
Barrington Hills,42.1137794,-88.1817654
Bartlett,41.7919281,-87.59846390000001
Bedford Park,41.7641723,-87.7812524
Bellwood,41.8814197,-87.883117
Belmont Cragin,41.9263921,-87.765942
Berkeley,41.8165001,-87.6006091
Berwyn,41.85058739999999,-87.7936685
Beverly,41.7171204,-87.6761796
Blue Island,41.8541765,-87.6650564
Bridgeport,41.8365443,-87.6495075
Bridgeview,41.7500323,-87.80422159999999
Brighton Park,41.8193797,-87.69902479999999
Broadview,41.8639201,-87.85339309999999
Brookfield,41.8239203,-87.8517253
Buffalo Grove,42.17017999999999,-87.92324699999999
Burbank,41.7467619,-87.76073799999999
Burnham,41.8830146,-87.62824719999999
Burnside,41.7281304,-87.5964182
Burr Ridge,41.74892029999999,-87.91839189999999
Calumet City,41.6219381,-87.5765115
Calumet Heights,41.7298307,-87.57047639999999
Calumet Park,41.7178298,-87.5306436
Chatham,41.7409936,-87.6138818
Chicago Heights,41.506146,-87.6355995
Chicago Lawn,41.7719419,-87.6954099
Chicago Ridge,41.7014217,-87.77921959999999
Cicero,41.8455877,-87.7539448
Clearing,41.7783854,-87.7692393
Country Club Hills,41.5680898,-87.72032569999999
Countryside,41.766022,-87.87952299999999
Crestwood,41.8896808,-87.7748022
Des Plaines,41.9663202,-87.85056139999999
Dixmoor,41.8828273,-87.63167159999999
Dolton,41.6389236,-87.60726799999999
Douglas,41.8346519,-87.61797279999999
Dunning,41.9472072,-87.80646490000001
East Garfield Park,41.8818576,-87.70248169999999
East Hazel Crest,41.5745046,-87.6642198
East Side,41.70799419999999,-87.535173
Edgewater,41.9872447,-87.6612335
Edison Park,42.0054486,-87.81329009999999
Elk Grove Village,41.9093581,-87.6740244
Elmwood Park,41.9211423,-87.8092266
Englewood,41.775305,-87.6416419
Evanston,42.0443775,-87.6814897
Evergreen Park,41.7205889,-87.7017175
Flossmoor,41.5342494,-87.6965178
Ford Heights,41.5035718,-87.60131109999999
Forest Glen,41.9791773,-87.7514364
Forest Park,41.8794758,-87.81367
Forest View,41.9626472,-87.8414686
