Activity Status,Program Number,Agency Number,Community Area,Program Type,Program Name,Hours,Contact,Description,Shipping Address,Shipping City,Shipping Zip,Service Areas,Aldermanic Ward,Cook County Commissioner Code,State Rep District,State Senator District,US Congressional District Code,FY13 - Lbs Dist,FY14 - Lbs Dist,FY15 - Lbs Dist,FY16 Lbs Dist,_,FY13 - Inds Serv,FY14 - Inds Serv,FY15 - Inds Serv,FY16  - Inds Serv,_,FY13 - Meals Served (meal programs),FY14 - Meals Served (meal programs),FY15 - Meals Served (meal programs),FY16 Meals Served (meal programs),,
INACTIVEFB,KC00222,A70009,West Town,KIDS CAFE,ULBG Two-Wells,,,,,,,,,,,,,0,154,0,0,,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00474,A70009,Washington Heights,CACFP,Universal Family Connection,3P-6P,Karen Kelley,CACFP 2016,,,,Closed, , , , , ,0,0,0,"2,193",,0,0,0,0,,0,0,0,0,,
ACTIVE,KC00478,A70009,Austin,CACFP,DMI Information Processing Ctr,3:00P-6:00P,Mary Denson,CACFP 2016,5090 W. Harrison Street,Chicago,,Closed,29,1,8,4,7,0,0,0,605,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,MP00150,A01217,Chicago Heights,GCFD-MP,Bloom High School,"Saturday Aril 9, 2016; 10am - 2pm",Angelia Smith,One Time Mobile Pantry,101 West 10th Street,Chicago Heights,60411,Cook County,,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,ON00718,A00846,,FOODBANK,Black Hills Reginal FB Inc.,,Monica Leitheiser,,814 N Maple Ave,Rapid City,57701,,,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00015,A90000,Chicago Lawn,FOODBOX,Food Box-JAMS,,,,7105 S. Artesian,Chicago,60629,,18,2,32,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00017,A90000,West Englewood,FOODBOX,Food Box-New Mt. Zion Church,,Rev. Randolph Purnell,,1316 W. 63rd St.,Chicago,60609,,16,2,6,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00035,A90000,Grand Boulevard,FOODBOX,Food Box-King Comm Srvc Ctr,,Heron O'Neal,,4314 S Cottage Grove Ave,Chicago,60653,,4,3,26,13,1,"50,971",0,-222,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00043,A90000,West Pullman,FOODBOX,Food Box-Far So. Comm. Svc Ofc,,Lil Williams,,829 W. 119th St.,Chicago,60643,,34,5,27,14,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00045,A90000,Kenwood,FOODBOX,Food Box-Shiloah Bapt. Chrch,,Gordon Humphrey,,4840 S. Dorchester,Chicago,60615,,4,3,25,13,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00047,A90000,Auburn Gresham,FOODBOX,Food Box-Englwd Comm Svc Ofc.,,Leonard Gilbert,,1140 W. 79th Street,Chicago,60620,,17,3,31,16,1,"21,119",0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00052,A90000,Douglas,FOODBOX,Food Box-Central Advisory Brd.,,Randolph Artensa,,243 E. 32nd St.,Chicago,60616,,3,3,5,3,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00070,A90000,Ashburn,FOODBOX,Food Box-HRDI,,Mary Boyd,,8151 S Western Ave,Chicago,60620,,18,3,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00071,A90000,Chatham,FOODBOX,Food Box-Bethlehem Star,,,,9231 S. Cottage Grove,Chicago,60619,,8,4,33,17,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00072,A90000,Washington Heights,FOODBOX,Food Box-Christ Universal,,,,9039 S. Ashalnd Ave,Chicago,60620,,21,4,35,18,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEFB,BX00081,A90000,Englewood,FOODBOX,Food Box- Faith Temple COGIC,,Marie Mallet,,7158 S. Peoria Street,Chicago,60621,,6,2,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
INACTIVEAG,BX00089,A90000,Ashburn,FOODBOX,Food Box-New Foundation of Hop,,Ronald Mason,,8144 S. Kedzie,Chicago,60652,,18,3,31,16,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,
