,Community Area,STORE NAME,Program Name,Program Type,Activity Status,Reduced Meal Eligibiity,Normalized Reduced Meal Eligiblity,HARDSHIP INDEX,LATITUDE,LONGITUDE
0,GRAND BOULEVARD,200 LIQUORS,,,,,,,41.8094238941,-87.62095180200001
1,LAKE VIEW,3600 COMMISSARY,,,,,,,41.9486836744,-87.6436497585
2,ARCHER HEIGHTS,4343 PETES FRESH MARKET,,,,,,,41.8139143113,-87.72366494190003
3,BRIGHTON PARK,4700 PETE'S FRESH MARKET,,,,,,,41.8080472717,-87.70411882229998
4,BELMONT CRAGIN,5659 W. DIVERSEY,,,,,,,41.9311354035,-87.76861213059998
5,ENGLEWOOD,"7400 S HALSTED FOOD AND LIQUORS, INC.",,,,,,,41.7596745819,-87.6444202389
6,AUBURN GRESHAM,79 FOOD BASKET,,,,,,,41.7503211206,-87.65818905290001
7,AUSTIN,A & B FOOD MARKET INC,,,,,,,41.9021664421,-87.75318234870001
8,GREATER GRAND CROSSING,A & G LIQUORS,,,,,,,41.7678312792,-87.6247659397
9,BELMONT CRAGIN,A & R FOOD MART,,,,,,,41.9205964582,-87.7751926809
10,BELMONT CRAGIN,A & R FOOD MART,,,,,,,41.9205964582,-87.7751926809
11,LINCOLN PARK,AARAY GROCERY,,,,,,,41.929209817,-87.648746265
12,WEST ENGLEWOOD,ADA FOODS,,,,,,,41.764894181399995,-87.6573078048
13,AUSTIN,ADAMS FOOD MART,,,,,,,41.8910335471,-87.7553096457
14,BELMONT CRAGIN,AL BAYAN GROCERY INC.,,,,,,,41.9375646502,-87.7860543686
15,EDGEWATER,ALDI,,,,,,,41.9952114602,-87.6602779929
16,WOODLAWN,ALDI,,,,,,,41.7743058812,-87.60564802530001
17,BRIGHTON PARK,ALDI,,,,,,,41.8034457131,-87.7039862718
18,SOUTH LAWNDALE,ALDI,,,,,,,41.8381141517,-87.7049944648
19,LINCOLN PARK,ALDI,,,,,,,41.914423714099996,-87.65462784299999
20,AUBURN GRESHAM,ALDI,,,,,,,41.7549909175,-87.6634041558
21,AVALON PARK,ALDI,,,,,,,41.7527456405,-87.58752348530001
22,WEST GARFIELD PARK,ALDI,,,,,,,41.8806594115,-87.72219366889999
23,HUMBOLDT PARK,ALDI,,,,,,,41.8956153135,-87.7067053251
24,HERMOSA,ALDI,,,,,,,41.931460938200004,-87.74371730700001
25,LINCOLN PARK,ALDI,,,,,,,41.9286950012,-87.67419508309997
26,LOGAN SQUARE,ALDI,,,,,,,41.9282078544,-87.72815855799999
27,BELMONT CRAGIN,ALDI,,,,,,,41.9321576791,-87.76642459879999
28,IRVING PARK,ALDI,,,,,,,41.9423835134,-87.72901085950001
29,WEST RIDGE,ALDI,,,,,,,41.9946209588,-87.6996868624
30,ALBANY PARK,ALDI,,,,,,,41.9719812207,-87.72798689790001
31,ARCHER HEIGHTS,ALDI,,,,,,,41.8114515422,-87.72357465440002
32,GARFIELD RIDGE,ALDI,,,,,,,41.796380489499995,-87.75734757219999
33,NORTH CENTER,ALDI,,,,,,,41.961194098600004,-87.68996697040001
34,WEST TOWN,ALDI,,,,,,,41.91358779,-87.6822028354
35,ASHBURN,ALDI,,,,,,,41.7409110654,-87.7409228594
36,ENGLEWOOD,ALDI,,,,,,,41.7799200473,-87.6409255107
37,AVALON PARK,ALDI,,,,,,,41.736915345999996,-87.59365662180002
38,LOWER WEST SIDE,ALDI,,,,,,,41.8521511995,-87.67007460190003
39,AUBURN GRESHAM,ALDI,,,,,,,41.7302972736,-87.6433090924
40,SOUTH DEERING,ALDI,,,,,,,41.722466241999996,-87.56667305209999
41,AUSTIN,ALDI,,,,,,,41.8673156479,-87.76559794299999
42,WEST PULLMAN,ALDI,,,,,,,41.6849606404,-87.64302230959998
43,CHICAGO LAWN,ALDI,,,,,,,41.7839658423,-87.6836233778
44,BELMONT CRAGIN,ALDI,,,,,,,41.9237604017,-87.7887477626
45,UPTOWN,ALDI,,,,,,,41.9637889643,-87.6566064924
46,EAST SIDE,ALDI,,,,,,,41.703662360900005,-87.5257124268
47,GREATER GRAND CROSSING,ALDI,,,,,,,41.760880872,-87.6246657846
48,NEW CITY,ALDI,,,,,,,41.8087413884,-87.6629116285
49,ASHBURN,ALDI,,,,,,,41.756035091,-87.6828583216
50,AVONDALE,ALDI,,,,,,,41.9394051879,-87.7109005918
51,BRIDGEPORT,ALL STAR FOOD & LIQUOR,,,,,,,41.841484039099996,-87.6580219776
52,CALUMET HEIGHTS,ALLA'S FOOD,,,,,,,41.726240348699996,-87.57429226110001
53,NEW CITY,ALMUFLIHI FOOD & LIQUOR,,,,,,,41.7958707987,-87.6453441182
54,AVALON PARK,AM-PM FOOD MART & CELLULAR,,,,,,,41.7371462539,-87.5770809934
55,CHATHAM,ANAR INC,,,,,,,41.7512179339,-87.6014014102
56,ALBANY PARK,ANDYS FRUIT RANCH,,,,,,,41.967629159699996,-87.70830368729997
57,NEAR WEST SIDE,ARISTA FOODS,,,,,,,41.8834021216,-87.65572529309998
58,LOGAN SQUARE,ARMITAGE PRODUCE INC,,,,,,,41.9175624189,-87.7117551087
59,ROGERS PARK,AROUND THE CLOCK,,,,,,,42.0192651821,-87.6715720734
60,WASHINGTON HEIGHTS,ASHLAND FOOD AND LIQUORS,,,,,,,41.7213269867,-87.66253365850002
61,NEAR WEST SIDE,ATHENS GROCERY,,,,,,,41.8771621281,-87.6473642897
62,DUNNING,AVENUE FOOD MAR INC,,,,,,,41.938237376,-87.7977603483
63,WEST RIDGE,AWAMI BAZAAR & ZABIHA MEAT,,,,,,,41.9978536894,-87.6890642657
64,EAST GARFIELD PARK,B & H FOOD & GROCERY,,,,,,,41.872350043000004,-87.7032726418
65,HEGEWISCH,Baltimore Food & Liquor,,,,,,,41.6529646117,-87.54729865280001
66,WEST TOWN,BARI,,,,,,,41.8912101212,-87.6555602414
67,DUNNING,BERBATE FRUIT MARKET,,,,,,,41.9527315616,-87.7866984426
68,LINCOLN PARK,BIG APPLE FINER FOODS INC,,,,,,,41.9249661791,-87.639926019
69,AUSTIN,BOB'S LIQUORS & GROCERIES,,,,,,,41.8802960895,-87.7524941982
70,LOOP,BOCKWINKELS,,,,,,,41.886339416,-87.62083615
71,PORTAGE PARK,BOULEVARD FOOD & LIQUOR LLC,,,,,,,41.9531825896,-87.77525937530001
72,UPTOWN,BROADWAY SUPERMARKET,,,,,,,41.9711711808,-87.659580975
73,ROGERS PARK,BUDGET FINER FOODS,,,,,,,42.0027261067,-87.66093836639999
74,LOOP,BURNHAM PLAZA MART,,,,,,,41.871444196300004,-87.62607513030001
75,WEST ENGLEWOOD,BUSY BEE SUPERMARKET,,,,,,,41.7904800194,-87.66434506569998
76,ROSELAND,BUY -N- SAVE,,,,,,,41.7071353216,-87.61824172989998
77,WEST TOWN,CAESAR'S FOODS INC,,,,,,,41.8977792769,-87.6769588663
78,BEVERLY,"CALABRIA IMPORTS, INC.",,,,,,,41.706473324499996,-87.6693549885
79,PORTAGE PARK,"CALMA OPTIMAL DELI, INC.",,,,,,,41.9458951009,-87.7566458523
80,SOUTH LAWNDALE,CARNICERIA DEL RIO,,,,,,,41.8520347381,-87.6936969081
81,WEST PULLMAN,CARNICERIA EL PORVENIR,,,,,,,41.684063198000004,-87.6187429679
82,BELMONT CRAGIN,CARNICERIA GUANAJUATO,,,,,,,41.9241891458,-87.75822974120001
83,AVONDALE,CARNICERIA GUANAJUATO #3,,,,,,,41.938569715300005,-87.6979459455
84,WEST TOWN,CARNICERIA GUANJUATO #3,,,,,,,41.908115373899996,-87.6677638335
85,LOGAN SQUARE,CARNICERIA JIMENEZ #2,,,,,,,41.924628320500005,-87.72395332100002
86,HUMBOLDT PARK,CARNICERIA JIMENEZ INC,,,,,,,41.9099252471,-87.73155721629999
87,ROGERS PARK,CARNICERIA LA AZTECA,,,,,,,42.0109629527,-87.6742146577
88,GAGE PARK,CARNICERIA LA GLORIA,,,,,,,41.8009692763,-87.68872209870001
89,GAGE PARK,"CARNICERIA LA GLORIA NO. 2, INC.",,,,,,,41.7938118263,-87.6931506024
90,CHICAGO LAWN,"CARNICERIA LA HACIENDA, INC.",,,,,,,41.786024401,-87.7106047774
91,AVONDALE,"CARNICERIA LA MEJOR PRODUCE, INC.",,,,,,,41.9343143994,-87.7157719991
92,BELMONT CRAGIN,CARNICERIA LA VILLA #2,,,,,,,41.919774901,-87.7707265258
93,HERMOSA,CARNICERIA RICARDO,,,,,,,41.9315407469,-87.7375725127
94,HERMOSA,CARNICERIA&FRUTERIA EL MITOTE,,,,,,,41.9388195147,-87.73943380280001
95,HUMBOLDT PARK,CENTRAL PARK FOODS INC,,,,,,,41.9024736738,-87.71681746530001
96,GAGE PARK,CENTRO MARKET,,,,,,,41.799257043699996,-87.7035747066
97,BELMONT CRAGIN,CERMAK PRODUCE,,,,,,,41.9316414204,-87.74671991059998
98,HERMOSA,CERMAK PRODUCE,,,,,,,41.9169344398,-87.7363871475
99,LOWER WEST SIDE,CERMAK PRODUCE,,,,,,,41.8521678636,-87.66897504069998
100,SOUTH LAWNDALE,CERMAK PRODUCE,,,,,,,41.844366728699995,-87.7078980538
101,WEST ELSDON,CERMAK PRODUCE,,,,,,,41.79799187,-87.7234437408
102,IRVING PARK,CERMAK PRODUCE,,,,,,,41.9585967247,-87.7083095759
103,MCKINLEY PARK,CERMAK PRODUCE #5 LTD,,,,,,,41.8313499001,-87.67584784790002
104,WEST TOWN,CERMAK PRODUCE NO.4,,,,,,,41.9101322404,-87.69460039389999
105,IRVING PARK,CHARLIES  SUPERMARKET INC.,,,,,,,41.9611144263,-87.7025869386
106,CHATHAM,CHATHAM FOOD MARKET,,,,,,,41.750972675300005,-87.6169578802
107,NORTH PARK,CHICAGO FOOD CORP,,,,,,,41.9859279924,-87.7286634185
108,WEST RIDGE,CHICAGO GROCERS,,,,,,,41.997945885300005,-87.683568705
109,NEAR NORTH SIDE,Chicago Health - Maple Street,,,,,,,41.9019825524,-87.6292631031
110,ALBANY PARK,CHICAGO PRODUCE,,,,,,,41.9684853733,-87.7158713295
111,PORTAGE PARK,CICERO DELI INC.,,,,,,,41.93904667,-87.7470219655
112,NEAR NORTH SIDE,CITY GROCERY,,,,,,,41.8894653288,-87.6265092736
113,UPTOWN,CLARENDON FOOD MART INC,,,,,,,41.9580048015,-87.6496537356
114,NORTH CENTER,CLYBOURN MARKET,,,,,,,41.9325791837,-87.678327456
115,SOUTH DEERING,COMMERCIAL GROCERY,,,,,,,41.7134978435,-87.55073310659998
