Community Area,Number,Rate,Students Eligible
Clearing,"1,057",4.20%,85%
New City,"8,227",20.00%,99%
Uptown,"11,843",21.50%,93%
Kenwood,"5,450",31.00%,91%
Crestwood,"1,268",11.50%,72%
Hazel Crest,"3,989",28.10%,100%
Evergreen Park,"2,392",12.00%,35%
Brookfield,"1,422",7.50%,47%
Rosemont,585,13.60%,35%
Wilmette,"1,426",5.20%,na
Washington Heights,"8,570",31.60%,99%
Chicago Lawn,"13,365",24.10%,100%
West Elsdon,861,4.50%,100%
South Chicago,"9,486",33.80%,97%
Ashburn,"5,677",13.30%,96%
Riverdale - Suburb,"4,993",38.10%,100%
South Shore,"20,873",42.50%,100%
Brighton Park,"2,584",5.80%,100%
Berkeley,386,7.40%,82%
Barrington Hills,179,5.30%,na
Merrionette Park,207,11.40%,na
North Riverside,545,7.80%,40%
Thornton,369,14.10%,37%
West Town,"10,160",11.90%,86%
Country Club Hills,"5,092",30.30%,76%
Norridge,"1,263",8.50%,29%
Calumet Park,"2,569",30.70%,100%
Grand Boulevard,"9,388",41.30%,99%
Worth,"1,429",13.20%,80%
Mount Greenwood,"1,414",7.50%,38%
Western Springs,381,2.90%,na
East Hazel Crest,461,28.60%,na
Northfield,361,6.80%,na
Lincoln Park,"7,957",11.90%,52%
Burnside,"1,048",40.30%,100%
River Forest,719,6.40%,na
Des Plaines,"3,948",6.70%,52%
North Center,"2,894",8.40%,58%
Bedford Park,50,7.70%,100%
Chicago Heights,"6,572",21.60%,94%
Sauk Village,"3,130",29.70%,100%
West Pullman,"10,863",38.80%,100%
Orland Park,"4,312",7.40%,36%
Chicago Ridge,"2,363",16.40%,72%
South Chicago Heights,668,16.10%,84%
Humboldt Park,"11,749",21.40%,99%
Glenview,"2,896",6.30%,27%
Dunning,"3,084",7.20%,79%
Mckinley Park,"1,667",10.20%,100%
Palos Hills,"1,830",10.40%,46%
Bellwood,"4,241",22.10%,97%
Gage Park,"1,820",4.40%,100%
Franklin Park,828,4.50%,51%
Burnham,"1,026",24.30%,100%
Indian Head Park,222,5.80%,na
Auburn Gresham,"18,703",40.80%,97%
Woodlawn,"11,192",42.30%,100%
Evanston,"10,811",14.30%,37%
Orland Hills,878,12.10%,na
Hyde Park,"5,654",21.00%,78%
Forest Glen,954,5.20%,33%
Willow Springs,494,8.70%,36%
Midlothian,"1,669",11.20%,75%
Hermosa,870,3.40%,98%
Northbrook,"1,947",5.80%,na
Armour Square,"3,828",27.30%,74%
Roseland,"16,389",38.60%,96%
Lake View,"12,109",12.30%,60%
Near North Side,"12,918",15.10%,68%
Bridgeview,"2,143",13.10%,64%
Avondale,"2,732",6.90%,100%
Chatham,"11,952",38.10%,95%
West Lawn,825,2.50%,97%
Rogers Park,"11,159",20.50%,100%
Palos Heights,"1,018",8.10%,22%
Washington Park,"6,182",51.20%,100%
Bridgeport,"4,911",14.50%,84%
Hoffman Estates,"3,659",7.00%,37%
Belmont Cragin,"3,567",4.50%,98%
Burbank,"2,420",8.30%,56%
Rolling Meadows,"2,036",8.70%,41%
Lynwood,"2,166",23.30%,na
Hinsdale,"1,021",5.90%,na
Harwood Heights,943,10.90%,41%
North Lawndale,"15,472",43.90%,98%
Garfield Ridge,"1,569",4.40%,75%
Loop,"4,871",14.60%,93%
River Grove,"1,067",10.40%,69%
Near West Side,"13,866",22.40%,78%
Lincoln Square,"5,160",12.70%,87%
Hanover Park,"2,379",6.20%,0
Jefferson Park,"2,720",10.00%,69%
Olympia Fields,959,19.50%,74%
Irving Park,"3,674",6.50%,85%
Park Forest,"5,855",26.70%,85%
Niles,"3,025",10.10%,54%
South Barrington,222,4.60%,na
Winnetka,347,2.80%,na
Skokie,"7,287",11.20%,42%
Arlington Heights,"6,216",8.20%,20%
Pullman,"2,142",32.90%,95%
West Ridge,"11,821",16.40%,89%
Schiller Park,"1,053",8.90%,52%
La Grange,"1,131",7.20%,13%
Northlake,296,2.40%,70%
Calumet Heights,"3,782",27.50%,98%
Morton Grove,"1,784",7.60%,37%
Forest Park,"2,441",17.20%,55%
Justice,"2,134",16.40%,67%
Harvey,"8,969",34.80%,97%
Homewood,"2,790",14.40%,37%
Lansing,"5,035",17.70%,66%
Norwood Park,"2,755",7.60%,48%
Schaumburg,"7,009",9.40%,34%
McCook,26,12.70%,na
Elmwood Park,"2,148",8.60%,52%
Riverside,620,7.00%,15%
Avalon Park,"3,397",34.60%,88%
North Park,"2,371",12.90%,77%
South Holland,"5,155",23.30%,79%
Posen,784,12.40%,94%
Steger,"1,626",17.00%,100%
Inverness,320,4.30%,na
Richton Park,"4,013",29.20%,75%
Robbins,"2,016",39.10%,94%
East Side,"1,323",5.60%,96%
Ford Heights,"1,512",54.40%,95%
Lower West Side,"3,217",9.30%,98%
Bartlett,"2,119",5.10%,na
Maywood,"6,590",27.30%,95%
Englewood,"13,331",51.00%,99%
