Community Area,"Student enrollment in NSLP sponsoring schools, 2016","Children eligible for free and reduced price meals, 2016",Normalized Eligible Children (#Eligible/Total # Eligible),Students Eligible,"Estimated breakfast average daily participation (ADP), Oct 2015","Estimated lunch average daily participation (ADP), Oct 2015","Estimated school breakfast participation rate, Oct 2015","Estimated school lunch participation rate, Oct 2015","Number of Summer Food Service Program (SFSP) sites, 2015","Number of Summer Seamless Option (SSO) sites, 2015","Summer meal sites (SFSP and SSO), 2015","SFSP breakfast average daily participation (ADP), July 2015","SSO breakfast average daily participation (ADP), July 2015","Estimated overall summer breakfast participation rate, July 2015","SFSP lunch average daily participation (ADP), July 2015","SSO lunch average daily participation (ADP), July 2015","Estimated overall summer lunch participation rate, July 2015","Number of children in poverty, 2014",Number of children in poverty per summer meal site,Total number of 2015 summer meals distributed (SFSP + SSO meals),Total number of 2015 summer snacks distributed (SFSP + SSO snacks)
Albany Park,"6,944","6,783",1.23%,98%,"2,902","4,899",43%,72%,3,4,7,25,87,2%,154,270,6%,#REF!,No sites,"10,826","2,963"
Alsip,"1,829","1,078",0.20%,59%,691,833,64%,77%,  -   ,2,2,  -   ,294,27%,  -   ,135,13%,#REF!,No sites,"10,146",  -
Archer Heights,"4,995","4,815",0.88%,96%,"1,092","3,421",23%,71%,4,2,6,117,56,4%,451,395,18%,#REF!,No sites,"30,669","8,678"
Arlington Heights,"6,581","1,292",0.24%,20%,249,702,19%,54%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Armour Square,"1,844","1,359",0.25%,74%,546,"1,103",40%,81%,10,2,12,250,118,27%,630,202,61%,#REF!,No sites,"33,501","8,097"
Ashburn,"7,413","7,145",1.30%,96%,"3,476","5,825",49%,82%,10,9,19,154,482,9%,529,847,19%,#REF!,No sites,"49,132","15,032"
Auburn Gresham,"7,019","6,838",1.24%,97%,"4,353","5,564",64%,81%,21,10,31,592,829,21%,"1,028","1,054",30%,#REF!,No sites,"105,212","6,930"
Austin,"11,689","11,615",2.11%,99%,"6,770","9,299",58%,80%,58,13,71,"2,058",684,24%,"3,564","1,054",40%,#REF!,No sites,"261,402","25,317"
Avalon Park,"2,234","1,959",0.36%,88%,871,"1,765",44%,90%,7,3,10,97,44,7%,563,82,33%,#REF!,No sites,"20,772","7,383"
Avondale,"3,652","3,652",0.66%,100%,"1,884","2,975",52%,81%,7,2,9,149,168,9%,350,259,17%,#REF!,No sites,"28,347","4,530"
Barrington, na ,  -   ,0.00%,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Barrington Hills, na ,  -   ,0.00%,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Bartlett, na ,  -   ,0.00%,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Bedford Park,218,218,0.04%,100%,57,154,26%,70%,1,  -   ,1,  -   ,  -   ,0%,45,  -   ,21%,#REF!,No sites,"1,227","1,263"
Bellwood,"2,523","2,452",0.45%,97%,809,"1,934",33%,79%,1,1,2,216,28,10%,220,47,11%,#REF!,No sites,"20,025",  -
Belmont Cragin,"15,799","15,524",2.83%,98%,"5,251","11,328",34%,73%,13,9,22,418,507,6%,"1,040",923,13%,#REF!,No sites,"80,556","2,441"
Berkeley,883,726,0.13%,82%,192,496,26%,68%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Berwyn,"11,206","9,670",1.76%,86%,"3,045","7,022",31%,73%,6,5,11,146,511,7%,158,142,3%,#REF!,No sites,"19,030",  -
Beverly,"2,557","1,250",0.23%,49%,531,699,42%,56%,10,2,12,220,56,22%,368,10,30%,#REF!,No sites,"22,877","3,864"
Blue Island,"4,047","3,692",0.67%,91%,"1,278","2,570",35%,70%,4,  -   ,4,55,  -   ,1%,118,  -   ,3%,#REF!,No sites,"6,006",  -
Bridgeport,"3,523","2,949",0.54%,84%,"1,443","2,450",49%,83%,10,  -   ,10,279,  -   ,9%,655,  -   ,22%,#REF!,No sites,"32,166","3,993"
Bridgeview,"1,299",834,0.15%,64%,22,571,3%,68%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Brighton Park,"7,645","7,645",1.39%,100%,"3,416","5,754",45%,75%,6,7,13,99,236,4%,462,582,14%,#REF!,No sites,"30,168","1,108"
Broadview,857,857,0.16%,100%,378,573,44%,67%,3,1,4,11,  -   ,1%,73,  -   ,9%,#REF!,No sites,"5,700",  -
Brookfield,"1,427",665,0.12%,47%,79,415,12%,62%,  -   ,1,1,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,102,  -
Buffalo Grove, na , na ,#VALUE!,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Burbank,"5,630","3,126",0.57%,56%,586,"1,965",19%,63%,  -   ,2,2,  -   ,30,1%,  -   ,  -   ,0%,#REF!,No sites,"3,255",  -
Burnham,203,203,0.04%,100%,190,182,94%,90%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Burnside,457,457,0.08%,100%,317,364,69%,80%,2,1,3,  -   ,  -   ,0%,80,60,31%,#REF!,No sites,"3,676","1,932"
Burr Ridge, na , na ,#VALUE!,na, na , na ,na,na,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Calumet City,"6,597","6,037",1.10%,92%,"3,586","4,681",59%,78%,8,3,11,35,109,2%,532,  -   ,9%,#REF!,No sites,"16,877","7,189"
Calumet Heights,"1,552","1,520",0.28%,98%,842,"1,158",55%,76%,2,1,3,7,57,4%,126,63,12%,#REF!,No sites,"6,791","4,611"
Calumet Park,"1,185","1,185",0.22%,100%, na , na ,na,na,3,  -   ,3,180,  -   ,15%,286,  -   ,24%,#REF!,No sites,"8,727",  -
Chatham,"4,439","4,235",0.77%,95%,"2,011","2,670",47%,63%,19,4,23,347,76,10%,751,113,20%,#REF!,No sites,"35,555","10,222"
Chicago Heights,"6,269","5,894",1.07%,94%,"1,659","4,447",28%,75%,16,8,24,496,372,15%,615,168,13%,#REF!,No sites,"65,051","1,623"
Chicago Lawn,"7,469","7,460",1.36%,100%,"4,835","6,664",65%,89%,10,8,18,169,440,8%,578,858,19%,#REF!,No sites,"59,332","2,508"
Chicago Ridge,"2,586","1,857",0.34%,72%,959,"1,313",52%,71%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
Cicero,"16,244","15,047",2.74%,93%,"5,220","12,538",35%,83%,13,4,17,129,326,3%,697,252,6%,#REF!,No sites,"38,520","12,597"
Clearing,"2,566","2,175",0.40%,85%,"1,168","1,337",54%,61%,3,2,5,  -   ,28,1%,411,44,21%,#REF!,No sites,"13,243","12,084"
Country Club Hills,"1,531","1,168",0.21%,76%,843,912,72%,78%,3,  -   ,3,137,  -   ,12%,254,  -   ,22%,#REF!,No sites,"12,799",  -
Countryside,285,205,0.04%,72%,47,156,23%,76%,  -   ,  -   ,  -   ,  -   ,  -   ,0%,  -   ,  -   ,0%,#REF!,No sites,  -   ,  -
